text,label
‘a target on roe v. wade ’: oklahoma bill making it a felony to perform abortions waits for governor’s decision,REAL
study: women had to drive 4 times farther after texas laws closed abortion clinics,REAL
"trump, clinton clash in dueling dc speeches",REAL
grand jury in texas indicts activists behind planned parenthood videos,REAL
"as reproductive rights hang in the balance, debate moderators drop the ball",REAL
abortion poses challenge for gop in 2016,REAL
the trump campaign is low on funds,REAL
"here’s how a wealthy trump supporter could give $783,400 to support his campaign and the rnc",REAL
trump’s deal with the rnc shows how big money is flowing back to the parties,REAL
hillary clinton: cure for citizens united is more democracy,REAL
trump’s campaign just got support from one of the republican party’s biggest donors,REAL
donors to g.o.p. candidates: you’re on your own,REAL
hillary clinton shatters $100m fundraising goal,REAL
jeb bush says he is making campaign 'adjustment',REAL
elite conservative moneymen remain on sidelines,REAL
million-dollar donors pump huge sums into 2016 white house race,REAL
'16ers off and running in money race,REAL
the overwhelming stress of being denied a bathroom,REAL
white house press secretary defends larry wilmore’s use of the ‘n-word’ in addressing president obama,REAL
feds warn schools that transgender bathroom restrictions could cost them (+video),REAL
"chaos on house floor as dems, republicans clash over lgbt proposal",REAL
eleven states sue obama admin. over transgender directive,REAL
house dems ‘shame’ opponents of defeated lgbt rights bill,REAL
the oregon standoff and america’s double standards on race and religion,REAL
america's racial generation gap takes an ugly political turn,REAL
bernie sanders faces frustrated crowd at race forum in minneapolis,REAL
"flint, michigan: neglected because city is black, poor?",REAL
"hillary clinton, bernie sanders: king's legacy is alive",REAL
nc governor partially changes 'bathroom bill' after backlash,REAL
does bernie sanders really want to win? three democratic debate takeaways,REAL
"supreme court, trump engulf capitol hill",REAL
"in year of supposed angry electorate, just one congressional incumbent ousted in primary",REAL
inside paul ryan’s quest to set the republican agenda,REAL
ryan hopes for new tone in trump campaign,REAL
house passes bills to combat opioid abuse | realclearpolitics,REAL
"ryan's 'encouraged' after trump meeting, but no endorsement yet",REAL
how the house of representatives can steal the election for the gop,REAL
house votes to upgrade international religious freedom law,REAL
paul ryan is not running for president -- or passing a budget,REAL
"ryan, gop house budget vows seem paralyzed by angst over gop white house battle",REAL
"congress sends health care repeal to obama, setting up certain veto",REAL
"ryan so far proves he can 'make the sausage,' but he'll likely be serving a much different house party in 2016",REAL
barack obama: why we must rethink solitary confinement,REAL
let's appreciate law enforcement and respect the reality of use of deadly force,REAL
"nevada rancher cliven bundy charged with assault, conspiracy",REAL
2016 race collides with baltimore unrest,REAL
defense department launches aggressive cyberattacks against isis,REAL
"liberal pundits blame debbie wasserman schultz, not bernie sanders, for democrats’ division",REAL
a fractured democratic party threatens clinton’s chances against trump,REAL
democrats weigh how to nudge sanders out,REAL
sanders tries to get clinton 'aggressive attack surrogates' off key campaign committees,REAL
when did the democratic party become such a nervous wreck?,REAL
it's time for democratic primary voters to focus on what they're hiring a president to do,REAL
sanders says he's backing dnc chair's primary opponent,REAL
"do democrats want what bernie wants, or just what bernie has?",REAL
"sanders, dem establishment battle boils over",REAL
us election 2016: bernie sanders' and hillary clinton's policies compared,REAL
martin o’malley in danger of being cut from next democratic debate,REAL
dems race to back clinton even before 2016 announcement,REAL
will democrats keep hammering the kochs?,REAL
philadelphia to host 2016 democratic national convention,REAL
dnc chair won't run for senate in 2016,REAL
syria casts shadows on 2016 dems,REAL
hillary clinton’s countless choices could hinge on 2016 election,REAL
dems fight to maintain digital edge,REAL
a viewer's guide to clinton fever,REAL
hillary clinton's first test,REAL
white house warns congress: fight zika or live to regret it,REAL
the nation he built,REAL
top democratic economists don't think much of bernienomics. he doesn’t care.,REAL
"billionaire bashing ignores economic reality, say class warfare critics",REAL
rival campaigns starting to fear ted cruz,REAL
"us economy adds paltry 38,000 jobs in may for weakest growth since 2010",REAL
may's jobs report: very disappointing,REAL
maryland has passed one of the nation’s strongest equal pay laws,REAL
first take: wall street bids goodbye to june hike,REAL
"report says trade deal would boost u.s. economy, but opponents say no",REAL
a harsh blow to small businesses: opposing view,REAL
overdue change in overtime pay: our view,REAL
what if the minimum wage increase is a fraud?,REAL
