text,label
Duterte died in ICC,fake
President died in hospital,fake
Celebrity died suddenly,fake
Rumor says senator died,fake
Fake news about death spreads,fake
Aliens spotted in Manila,fake
Aliens invaded Philippines,fake
Conspiracy about government control spreads,fake
Fake tsunami warning spreads online,fake
Hoax about earthquake alert circulates,fake
Unverified rumor about celebrity death,fake
False report about bombing spreads online,fake
Fake news about vaccine danger spreads,fake
Hoax message about lockdown circulates,fake
Unconfirmed report about virus outbreak spreads,fake

Marcos confirms new economic policy,real
Government announces new budget report,real
DOH issues health advisory in Visayas,real
DepEd announces school opening,real
Official report released by the government,real
President signs new law,real
Senate approves new bill,real
LGU releases official statement,real
Health department confirms new cases,real
Authorities issue public warning,real
Cebu hospitals on alert due to haze,real
Haze alert issued in Cebu,real
Alert raised in Cebu hospitals,real
Transport strike announced by union,real
Public transport strike scheduled next week,real
Government confirms transport strike,real
New economic policy announced by officials,real
Education department releases school calendar,real
Official announcement from Malacañang released,real
Health advisory issued by DOH,real
Budget report released by finance department,real
Authorities confirm safety measures in place,real
Disaster response team activated in region,real
Local government issues flood warning,real
Emergency alert issued in coastal areas,real
Senator announces new healthcare program,real
Mayor confirms infrastructure project,real
Department releases official guidelines,real
Government launches new public program,real
Official press release confirms new policy,real
Authorities monitor situation in affected areas,real
Public advisory issued by local officials,real
Confirmed report from national government,real
Breaking news from official sources released,real

Fake report claims Marcos arrested secretly,fake
Hoax says DOH hiding virus outbreak,fake
False claim about free money from government,fake
Rumor that earthquake will hit Manila tomorrow,fake
Fake advisory about nationwide blackout,fake
Conspiracy theory about 5G causing illness,fake
Hoax message about free vaccines online,fake
Fake tsunami alert shared on social media,fake
Unverified claim about celebrity death spreads,fake
Fake news about military coup spreading,fake
Rumor that elections are cancelled,fake
Fake report about new deadly virus spreading,fake
False claim about government banning internet,fake
Hoax about food shortage nationwide,fake
Fake warning about kidnapping spreading online,fake
Conspiracy claim about secret government control,fake
Fake report of explosion in major city,fake
Unverified report about president collapsing,fake
Fake story about aliens landing in Cebu,fake
Hoax about nationwide curfew announcement,fake
False alert about bank shutdown spreads,fake
Fake report about free housing from government,fake
Rumor about senator involved in scandal,fake
Fake claim about schools closing permanently,fake
Hoax message about new tax on social media,fake

Philippine economy grows in latest report,real
DOH confirms decline in COVID cases,real
Government launches new healthcare program,real
DepEd releases updated school guidelines,real
Philippine inflation rate reported by PSA,real
New infrastructure project announced in Luzon,real
Official statement released by Malacañang,real
Senate passes new education reform bill,real
DOTr announces new transport system improvements,real
Philippine tourism increases this year,real
Health department confirms dengue cases rising,real
Authorities issue typhoon warning in region,real
New hospital opens in Mindanao,real
Government distributes aid to affected families,real
Flood warning issued in several provinces,real
Local government launches disaster response program,real
Official unemployment rate released by PSA,real
Philippines signs new international agreement,real
DOH announces vaccination campaign,real
Education sector receives increased budget,real
Infrastructure development project completed,real
Government confirms fuel price adjustments,real
Weather bureau issues storm advisory,real
Public transport modernization program continues,real
Philippine exports increase this quarter,real
