timestamp,input_text,predicted_label,predicted_prob,user_label
2025-11-28T14:49:18.261097,New study proves that drinking coffee cures diabetes.,uncertain,0.5000,fake
2025-11-28T15:05:20.859687,duterte is dead in the icc,real,0.5000,fake
2025-11-28T16:03:19.946294,mindanao has no internet,real,1.0000,fake
2025-11-29T13:04:36.646485,"apan recently recounted its islands — and found 7,000 more than anyone realized 🌊.
A new digital survey by the Geospatial Information Authority of Japan identified 14,125 islands, more than double the long-used count of 6,852 from a 1987 Coast Guard report.

The difference isn’t new land. It’s better tech. High-resolution satellite imaging and advanced mapping software can now spot and measure small landmasses that older surveys either missed or lumped together 🛰️.

What once relied on rough estimation is now mapped with precision, revealing thousands of islands that were hidden in plain sight.",real,0.8616,real,real
2025-11-29T13:05:50.256513,mindanao has no internet,real,0.7353,real,fake
2025-11-29T13:09:55.865081,mindanao has no internet,real,0.7353,real,
2025-11-29T13:13:24.266636,"Japan recently recounted its islands — and found 7,000 more than anyone realized 🌊.
A new digital survey by the Geospatial Information Authority of Japan identified 14,125 islands, more than double the long-used count of 6,852 from a 1987 Coast Guard report.

The difference isn’t new land. It’s better tech. High-resolution satellite imaging and advanced mapping software can now spot and measure small landmasses that older surveys either missed or lumped together 🛰️.

What once relied on rough estimation is now mapped with precision, revealing thousands of islands that were hidden in plain sight.",real,86.0872
2025-11-29T13:14:16.756112,Mindanao has no internet,real,73.5320
2025-11-29T13:46:14.840348,"Japan recently recounted its islands — and found 7,000 more than anyone realized 🌊.
A new digital survey by the Geospatial Information Authority of Japan identified 14,125 islands, more than double the long-used count of 6,852 from a 1987 Coast Guard report.

The difference isn’t new land. It’s better tech. High-resolution satellite imaging and advanced mapping software can now spot and measure small landmasses that older surveys either missed or lumped together 🛰️.

What once relied on rough estimation is now mapped with precision, revealing thousands of islands that were hidden in plain sight.",real,86.0872
2025-11-29T13:46:34.479735,Mindanao has no internet,real,73.5320
2025-11-29T13:46:44.121653,Mindanao has no internet,real,73.5320
2025-11-29T13:48:16.462161,Scientists confirm the Sun will explode next week.,real,90.9025
2025-11-29T13:48:38.376935,"Chocolate proven to cure cancer, secret study reveals",fake,36.0750
2025-11-29T16:35:12.800376,"Nagsimula na ang hearing para desisyunan ang hiling na interim release ng kampo ni dating Pangulong Rodrigo Duterte sa Appeals Chamber ng International Criminal Court ngayong Biyernes, November 28, 2025, sa The Hague, Netherlands.

Matatandaang pumirma ng waiver ang dating pangulo kaya hindi siya makakaharap habang ito ang unang beses na paglabas ni Nicholas Kaufman bilang kaniyang counsel.",fake,0.1282
2025-11-29T16:48:17.652243,"Nagsimula na ang hearing para desisyunan ang hiling na interim release ng kampo ni dating Pangulong Rodrigo Duterte sa Appeals Chamber ng International Criminal Court ngayong Biyernes, November 28, 2025, sa The Hague, Netherlands.

Matatandaang pumirma ng waiver ang dating pangulo kaya hindi siya makakaharap habang ito ang unang beses na paglabas ni Nicholas Kaufman bilang kaniyang counsel.",fake,0.1282
2025-11-30T02:18:02.671864,"READ: A group of retired and active top-ranking officers from the AFP, PNP, PCG, BJMP, and BFP issued a Manifesto of Unwavering Support and Solidarity to the president and commander-in-chief.

In a statement released during its 60th founding anniversary at Camp Aguinaldo and shared by AFP's, the Association of General and Flag Officers (AGFO) strongly condemned ""political noise and agitations"" calling for the AFP to withdraw support from the President.

AGFO invoked the principle of civilian supremacy over the military and Article XVI, Section 5 of the Constitution, which mandates that the military must remain insulated from partisan politics.

The manifesto also expressed full confidence in the current AFP leadership.

The document was signed by AGFO President and Chairman of the Board, Ret. MGen. Gerardo Layug, along with other officers, trustees, and 75 members. | via Jonathan Magistrado, ABS-CBN News",fake,0.0598
2025-11-30T02:26:03.011818,"Kinondena ni Bagong Alyansang Makabayan Secretary-General Mong Palatino ang hindi pagpayag ng PNP na mag-ayos ang kanilang grupo ng stage sa Luneta para sa gaganaping protesta kontra katiwalian ngayong Linggo, November 30, 2025.

Ayon kay Palatino, may approval na ng Manila City LGU at MMDA pero hindi sila pinayagan ng PNP dahil wala silang written permit na natanggap. | #SelfiePatrol ni Eon Sanchez, ABS-CBN News",fake,0.1627
2025-11-30T02:27:29.070385,https://www.instagram.com/reel/DRqBGHgjGq1/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,fake,0.3015
2025-11-30T02:38:50.569416,Enter the news here...,fake,0.1151
2025-11-30T02:43:52.507473,"Kinondena ni Bagong Alyansang Makabayan Secretary-General Mong Palatino ang hindi pagpayag ng PNP na mag-ayos ang kanilang grupo ng stage sa Luneta para sa gaganaping protesta kontra katiwalian ngayong Linggo, November 30, 2025.

Ayon kay Palatino, may approval na ng Manila City LGU at MMDA pero hindi sila pinayagan ng PNP dahil wala silang written permit na natanggap. | #SelfiePatrol ni Eon Sanchez, ABS-CBN News",fake,0.1627
2025-11-30T02:43:52.587962,"Kinondena ni Bagong Alyansang Makabayan Secretary-General Mong Palatino ang hindi pagpayag ng PNP na mag-ayos ang kanilang grupo ng stage sa Luneta para sa gaganaping protesta kontra katiwalian ngayong Linggo, November 30, 2025.

Ayon kay Palatino, may approval na ng Manila City LGU at MMDA pero hindi sila pinayagan ng PNP dahil wala silang written permit na natanggap. | #SelfiePatrol ni Eon Sanchez, ABS-CBN News",fake,0.1627
2025-11-30T02:47:58.025279,"Isang misa ang isinasagawa ngayon sa People Power Monument sa Quezon City bilang bahagi ng programa para sa Trillion Peso March ngayong Linggo, Nov. 30, 2025.

Pinangungunahan ito ni CBCP President Bishop Pablo Cardinal David.

Panoorin ang livestream sa Facebook at YouTube pages ng ABS-CBN News.",fake,0.1511
2025-11-30T02:47:58.097513,"Isang misa ang isinasagawa ngayon sa People Power Monument sa Quezon City bilang bahagi ng programa para sa Trillion Peso March ngayong Linggo, Nov. 30, 2025.

Pinangungunahan ito ni CBCP President Bishop Pablo Cardinal David.

Panoorin ang livestream sa Facebook at YouTube pages ng ABS-CBN News.",fake,0.1511
2025-11-30T02:48:15.452093,"Isang misa ang isinasagawa ngayon sa People Power Monument sa Quezon City bilang bahagi ng programa para sa Trillion Peso March ngayong Linggo, Nov. 30, 2025.

Pinangungunahan ito ni CBCP President Bishop Pablo Cardinal David.

Panoorin ang livestream sa Facebook at YouTube pages ng ABS-CBN News.",fake,0.1511
2025-11-30T02:48:15.479951,"Isang misa ang isinasagawa ngayon sa People Power Monument sa Quezon City bilang bahagi ng programa para sa Trillion Peso March ngayong Linggo, Nov. 30, 2025.

Pinangungunahan ito ni CBCP President Bishop Pablo Cardinal David.

Panoorin ang livestream sa Facebook at YouTube pages ng ABS-CBN News.",fake,0.1511
2025-11-30T02:52:02.232395,"Rescue workers in #Indonesia are continuing to battle to reach victims in several devastated areas submerged by cyclone-driven torrential rain over the past week, as authorities said the death toll has now reached 303 and would likely continue to rise.⁠
.⁠
Indonesia’s National Disaster Management Agency (known as the BNPB) said on Saturday that the number of confirmed casualties following this week’s catastrophic flooding and landslides now stands at 303, with more than 100 people still missing, after rescuers in West Sumatra’s Agam district recovered more bodies.⁠",fake,0.0461
2025-11-30T02:52:02.300088,"Rescue workers in #Indonesia are continuing to battle to reach victims in several devastated areas submerged by cyclone-driven torrential rain over the past week, as authorities said the death toll has now reached 303 and would likely continue to rise.⁠
.⁠
Indonesia’s National Disaster Management Agency (known as the BNPB) said on Saturday that the number of confirmed casualties following this week’s catastrophic flooding and landslides now stands at 303, with more than 100 people still missing, after rescuers in West Sumatra’s Agam district recovered more bodies.⁠",fake,0.0461
