title,link
LTO warns vloggers against breaking traffic rules,https://newsinfo.inquirer.net/1934567/lto-warns-vloggers-traffic-violations
13 areas in Philippines may hit danger-level heat index,https://www.rappler.com/nation/pagasa-heat-index-warning-april-2026
Pagasa warns of extreme heat index in several areas,https://www.gmanetwork.com/news/topstories/nation/902345/pagasa-warns-high-heat-index
Fuel prices increase due to peso decline,https://www.philstar.com/business/2026/04/20/fuel-price-increase-peso-decline
Marcos health rumors debunked by ABS-CBN,https://news.abs-cbn.com/news/2026/04/15/marcos-health-rumors-debunked
Cebu fire displaces families due to electrical fault,https://newsinfo.inquirer.net/1937890/cebu-fire-displaces-families
DOH reports increase in dengue cases nationwide,https://www.rappler.com/health/dengue-cases-philippines-april-2026
DepEd announces class suspension due to extreme heat,https://www.gmanetwork.com/news/topstories/nation/902567/deped-class-suspension-heat
Philippine peso weakens against US dollar,https://www.philstar.com/business/2026/04/18/peso-weakens-dollar
Pagasa warns of heavy rainfall due to low pressure area,https://newsinfo.inquirer.net/1939999/pagasa-heavy-rainfall-warning
Senate probes alleged corruption in public funds,https://www.gmanetwork.com/news/topstories/nation/902678/senate-probe-corruption
LTFRB implements new fare matrix for jeepneys,https://www.rappler.com/transportation/ltfrb-jeepney-fare-matrix-update
Philippines records rise in COVID-19 cases,https://news.abs-cbn.com/news/2026/04/10/covid-cases-rise-philippines
BSP raises interest rates to control inflation,https://www.philstar.com/business/2026/04/12/bsp-interest-rate-hike
Marcos administration launches new infrastructure program,https://newsinfo.inquirer.net/1938888/infrastructure-program-launch
PNP intensifies anti-crime operations nationwide,https://www.gmanetwork.com/news/topstories/nation/902789/pnp-anti-crime
Oil prices rollback expected next week,https://www.rappler.com/business/oil-price-rollback-april-2026
Department of Agriculture monitors rice supply,https://www.philstar.com/business/2026/04/14/rice-supply-monitoring
NBI investigates cybercrime cases involving scams,https://news.abs-cbn.com/news/2026/04/09/nbi-cybercrime-scams
CHED implements new college curriculum guidelines,https://newsinfo.inquirer.net/1937777/ched-curriculum-update
Philippines GDP shows economic growth this quarter,https://www.philstar.com/business/2026/04/16/gdp-growth-philippines
DOTr improves MRT operations amid complaints,https://www.rappler.com/transportation/mrt-improvement-update
Pagasa forecasts high heat index in Metro Manila,https://www.gmanetwork.com/news/topstories/nation/902890/heat-index-metro-manila
COMELEC prepares for upcoming elections,https://newsinfo.inquirer.net/1936666/comelec-preparations-election
DPWH continues road widening projects nationwide,https://www.gmanetwork.com/news/topstories/nation/902901/dpwh-road-projects
PhilHealth addresses issues on benefit claims,https://news.abs-cbn.com/news/2026/04/08/philhealth-claims-issues
Inflation rate in Philippines shows slight increase,https://www.philstar.com/business/2026/04/11/inflation-increase
Typhoon warning issued for eastern Philippines,https://www.rappler.com/nation/typhoon-warning-east-philippines
Education sector pushes for blended learning approach,https://www.gmanetwork.com/news/topstories/nation/902912/blended-learning
DOH monitors new variant of COVID-19,https://news.abs-cbn.com/news/2026/04/07/new-covid-variant
Philippines tourism sector sees recovery boost,https://www.philstar.com/business/2026/04/13/tourism-recovery
BIR intensifies tax collection campaign,https://newsinfo.inquirer.net/1935555/bir-tax-collection
Government increases budget for health sector,https://www.rappler.com/nation/health-budget-increase
Transport groups protest fuel price hikes,https://www.gmanetwork.com/news/topstories/nation/902923/transport-protest
Supreme Court releases decision on major case,https://newsinfo.inquirer.net/1934444/supreme-court-decision
Local government units prepare for disaster response,https://www.rappler.com/nation/disaster-preparedness
Rice prices increase in local markets,https://www.philstar.com/business/2026/04/17/rice-price-increase
Water shortage affects several provinces,https://www.gmanetwork.com/news/topstories/nation/902934/water-shortage
Power outages reported in multiple areas,https://news.abs-cbn.com/news/2026/04/06/power-outage
Philippine stock market shows mixed performance,https://www.philstar.com/business/2026/04/19/stock-market-performance
